datetime,open,high,low,close,average,sma10,sma20,sma50,ema10,ema20,ema50
2002-12-16 06:00:00,1.0273,1.0445,1.0215,1.0438,1.033,1.00479,0.99264,0.94726,1.00736,0.99457,0.94894
2002-12-23 06:00:00,1.0427,1.0507,1.0334,1.0423,1.04205,1.01137,0.99564,0.95036,1.01416,0.99784,0.95216
2002-12-30 06:00:00,1.0417,1.0587,1.036,1.0576,1.04735,1.01746,0.99921,0.95379,1.02018,1.00151,0.95562
2003-01-06 06:00:00,1.058,1.068,1.0503,1.0669,1.05915,1.023,1.0032,0.95773,1.02628,1.00586,0.95973
2003-01-13 06:00:00,1.0656,1.0857,1.0629,1.0821,1.0743,1.02951,1.00746,0.96186,1.03358,1.01064,0.96407
2003-01-20 06:00:00,1.0838,1.0909,1.0722,1.0769,1.08155,1.03713,1.01278,0.96601,1.04117,1.01605,0.96827
2003-01-27 06:00:00,1.0786,1.094,1.0692,1.0825,1.0816,1.04607,1.01816,0.9702,1.0493,1.02118,0.97238
2003-02-03 06:00:00,1.0817,1.086,1.0664,1.0791,1.0762,1.05375,1.02289,0.97435,1.05579,1.02543,0.97635
2003-02-10 06:00:00,1.0764,1.085,1.0668,1.0768,1.0759,1.05974,1.02747,0.97839,1.06121,1.02978,0.98031
2003-02-17 06:00:00,1.0727,1.0838,1.0708,1.0798,1.0773,1.06484,1.0321,0.98237,1.06598,1.03425,0.98423
2003-02-24 06:00:00,1.0777,1.1069,1.0767,1.1008,1.0918,1.07072,1.03776,0.9866,1.07264,1.04033,0.98866
2003-03-03 06:00:00,1.1007,1.1086,1.069,1.0741,1.0888,1.07539,1.04338,0.99085,1.07662,1.04554,0.99277
2003-03-10 06:00:00,1.0771,1.0846,1.0501,1.0534,1.06735,1.07739,1.04743,0.9946,1.07648,1.04838,0.99603
2003-03-17 06:00:00,1.0606,1.0929,1.0566,1.0924,1.07475,1.07895,1.05097,0.99852,1.07857,1.0521,1.00001
2003-03-24 08:00:00,1.0923,1.0955,1.056,1.0694,1.07575,1.0791,1.05431,1.00232,1.07879,1.05533,1.00376
2003-04-01 00:00:00,1.069,1.0833,1.0642,1.0773,1.07375,1.07832,1.05773,1.00589,1.07791,1.05849,1.00723
2003-04-08 00:00:00,1.0773,1.0966,1.0733,1.0873,1.08495,1.07866,1.06236,1.00942,1.07923,1.06343,1.0109
2003-04-15 00:00:00,1.0864,1.1081,1.0848,1.0986,1.09645,1.08068,1.06721,1.01312,1.08212,1.06861,1.01475
